Protein_ID,Compound_ID,Label
P97872,SUB-8185,1
F5H5G0,SUB-9243,0
G3CRD1,SUB-9747,1
Q9FQE8,SUB-9147,1
B3Y002,SUB-1769,0
Q96F10,SUB-8930,1
Q9KI47,SUB-6409,0
P54965,SUB-3250,1
Q974L0,SUB-6539,0
Q8R3P0,SUB-8564,0
C7AJA4,SUB-7177,0
Q8WNV7,SUB-8289,1
Q96KN2,SUB-9372,1
Q3ZFI4,SUB-8071,1
Q6GMR7,SUB-9348,0
Q5FSJ2,SUB-4829,1
P46413,SUB-6197,1
P21588,SUB-7107,0
O75462,SUB-970,0
Q76HN6,SUB-2183,0
O24319,SUB-1614,0
Q8RUF8,SUB-9007,1
P0A847,SUB-7684,0
A4LA85,SUB-9883,0
O15121,SUB-6161,1
Q56185,SUB-8578,1
D2Z027,SUB-7770,1
P60472,SUB-6223,0
E2GIN1,SUB-5850,0
B9W4V6,SUB-8798,0
A4ISB9,SUB-2184,1
Q75SP7,SUB-3464,1
P05364,SUB-294,1
D7PN09,SUB-9153,1
G1T465,SUB-167,1
Q86UL3,SUB-8695,0
P06621,SUB-7937,0
Q02567,SUB-1123,1
O32428,SUB-5528,1
P21812,SUB-9390,0
Q90WG6,SUB-6970,0
E5RP65,SUB-5691,0
P05982,SUB-1187,0
W8QF82,SUB-5107,1
Q2UNF9,SUB-124,0
Q13126,SUB-3663,1
P0ABJ1,SUB-5777,0
P11884,SUB-2093,0
P48034,SUB-9892,1
C9K2Z6,SUB-781,1
Q9DBB8,SUB-6201,0
Q9UBV7,SUB-7976,0
Q02068,SUB-10282,1
Q60136,SUB-6462,1
Q01284,SUB-2782,1
Q148T8,SUB-10226,1
A1BBA0,SUB-9023,1
A0EL75,SUB-10245,0
Q8VPD4,SUB-6231,0
C9JRZ8,SUB-818,0
Q02083,SUB-2467,0
P04694,SUB-8239,1
A2QL72,SUB-5619,1
Q8L0X1,SUB-4325,1
P32169,SUB-3809,0
Q9NWM0,SUB-7036,1
W8R465,SUB-926,0
Q936X2,SUB-1620,1
P11935,SUB-6288,1
P0A3G2,SUB-2404,0
P50162,SUB-1163,0
H8WR05,SUB-908,1
Q93YB2,SUB-3107,1
Q2KI18,SUB-4328,0
P0ABN1,SUB-6041,1
C6KT50,SUB-1093,1
A0A075EKG1,SUB-381,1
P30043,SUB-5818,1
F5H5G0,SUB-4090,0
Q3LSM4,SUB-5253,0
Q8IU89,SUB-2598,1
E5RP65,SUB-5784,1
Q9LE59,SUB-5867,1
G8XR50,SUB-7763,1
P11884,SUB-5960,1
P39462,SUB-4504,0
P22222,SUB-2538,0
A0A1J6JQE7,SUB-1344,1
P01033,SUB-8692,1
P18548,SUB-9103,0
Q5JRX3,SUB-10125,1
P20933,SUB-8540,1
P80679,SUB-1472,0
P04335,SUB-8236,0
P04963,SUB-10062,0
B3Y018,SUB-3397,0
P60068,SUB-5285,0
Q6QBS4,SUB-5869,0
Q70AC7,SUB-3043,1
Q9BTY2,SUB-7410,1
Q7K9G0,SUB-5789,1
P48425,SUB-8471,0
A0A0J9X243,SUB-7912,0
Q67YC0,SUB-6295,0
Q5S059,SUB-5871,0
Q67A25,SUB-9150,1
P25536,SUB-10087,1
Q8WZG3,SUB-4596,0
Q96Z02,SUB-7076,1
B8K1W1,SUB-10138,0
I3V5V5,SUB-8607,0
Q5EBM0,SUB-4788,1
Q6ZJ97,SUB-10334,0
P28796,SUB-400,1
P00634,SUB-6707,1
Q9NUI1,SUB-138,0
C6H0M2,SUB-6041,1
A9QVV8,SUB-6515,1
Q9HA79,SUB-8865,1
P20960,SUB-9099,0
P09623,SUB-5627,0
P51058,SUB-8225,1
W0NUN5,SUB-8703,0
A0A081YAY5,SUB-2699,1
J9PBS0,SUB-3515,0
P0AEK4,SUB-4027,1
Q8U1K3,SUB-10127,0
Q60FX6,SUB-7415,0
P06276,SUB-2194,1
